Sequence.Name	GenBank.Accn	RefSeq.Accn	Sequence.Length	Chr
scaffold164	KQ039458.1	NW_013185706.1	5534308	53
scaffold133	KQ039459.1	NW_013185707.1	5449029	54
scaffold87	KQ039460.1	NW_013185708.1	5445337	55
scaffold155	KQ039461.1	NW_013185709.1	5411894	56
scaffold78	KQ039462.1	NW_013185710.1	5404254	57
scaffold55	KQ039463.1	NW_013185711.1	5387350	58
scaffold40	KQ039464.1	NW_013185712.1	5307360	59
scaffold167	KQ039465.1	NW_013185713.1	5294655	60
scaffold93	KQ039466.1	NW_013185714.1	5285298	61
scaffold35	KQ039467.1	NW_013185715.1	5272810	62
scaffold225	KQ039468.1	NW_013185716.1	5216458	63
scaffold38	KQ039469.1	NW_013185717.1	5202740	64
scaffold275	KQ039470.1	NW_013185718.1	5152636	65
scaffold117	KQ039471.1	NW_013185719.1	5127808	66
scaffold85	KQ039472.1	NW_013185720.1	5069047	67
scaffold64	KQ039473.1	NW_013185721.1	4975511	68
scaffold100	KQ039474.1	NW_013185722.1	4968701	69
scaffold231	KQ039475.1	NW_013185723.1	4965307	70
scaffold322	KQ039476.1	NW_013185724.1	4946495	71
scaffold36	KQ039477.1	NW_013185725.1	4878904	72
scaffold99	KQ039478.1	NW_013185726.1	4817784	73
scaffold114	KQ039479.1	NW_013185727.1	4804882	74
scaffold63	KQ039480.1	NW_013185728.1	4741152	75
scaffold170	KQ039481.1	NW_013185729.1	4710552	76
scaffold186	KQ039482.1	NW_013185730.1	4621880	77
scaffold319	KQ039483.1	NW_013185731.1	4337882	78
scaffold195	KQ039484.1	NW_013185732.1	4211998	79
scaffold143	KQ039485.1	NW_013185733.1	4177753	80
scaffold221	KQ039486.1	NW_013185734.1	4145037	81
scaffold103	KQ039487.1	NW_013185735.1	4140225	82
scaffold353	KQ039488.1	NW_013185736.1	4108073	83
scaffold158	KQ039489.1	NW_013185737.1	4051749	84
scaffold47	KQ039490.1	NW_013185738.1	4040874	85
scaffold104	KQ039491.1	NW_013185739.1	4012466	86
scaffold30	KQ039492.1	NW_013185740.1	3867338	87
scaffold247	KQ039493.1	NW_013185741.1	3838320	88
scaffold135	KQ039494.1	NW_013185742.1	3792119	89
scaffold8	KQ039495.1	NW_013185743.1	3784002	90
scaffold1	KQ039496.1	NW_013185744.1	3767962	91
scaffold128	KQ039497.1	NW_013185745.1	3728074	92
scaffold72	KQ039498.1	NW_013185746.1	3719153	93
scaffold306	KQ039499.1	NW_013185747.1	3708299	94
scaffold211	KQ039500.1	NW_013185748.1	3687156	95
scaffold15	KQ039501.1	NW_013185749.1	3655890	96
scaffold157	KQ039502.1	NW_013185750.1	3636620	97
scaffold222	KQ039503.1	NW_013185751.1	3501638	98
scaffold154	KQ039504.1	NW_013185752.1	3398683	99
scaffold18	KQ039505.1	NW_013185753.1	3360969	100
scaffold245	KQ039506.1	NW_013185754.1	3342919	101
scaffold21	KQ039507.1	NW_013185755.1	3308371	102
scaffold188	KQ039508.1	NW_013185756.1	3258469	103
scaffold73	KQ039509.1	NW_013185757.1	3256162	104
scaffold4	KQ039510.1	NW_013185758.1	3179627	105
scaffold145	KQ039511.1	NW_013185759.1	3100388	106
scaffold33	KQ039512.1	NW_013185760.1	3076084	107
scaffold371	KQ039513.1	NW_013185761.1	3041766	108
scaffold281	KQ039514.1	NW_013185762.1	2998858	109
scaffold194	KQ039515.1	NW_013185763.1	2993168	110
scaffold84	KQ039516.1	NW_013185764.1	2986454	111
scaffold137	KQ039517.1	NW_013185765.1	2982450	112
scaffold426	KQ039518.1	NW_013185766.1	2946141	113
scaffold39	KQ039519.1	NW_013185767.1	2932516	114
scaffold162	KQ039520.1	NW_013185768.1	2931561	115
scaffold56	KQ039521.1	NW_013185769.1	2867941	116
scaffold287	KQ039522.1	NW_013185770.1	2867794	117
scaffold292	KQ039523.1	NW_013185771.1	2823460	118
scaffold204	KQ039524.1	NW_013185772.1	2820483	119
scaffold42	KQ039525.1	NW_013185773.1	2805447	120
scaffold108	KQ039526.1	NW_013185774.1	2797592	121
scaffold240	KQ039527.1	NW_013185775.1	2774817	122
scaffold192	KQ039528.1	NW_013185776.1	2767434	123
scaffold25	KQ039529.1	NW_013185777.1	2736649	124
scaffold329	KQ039530.1	NW_013185778.1	2702837	125
scaffold49	KQ039531.1	NW_013185779.1	2696777	126
scaffold326	KQ039532.1	NW_013185780.1	2674501	127
scaffold109	KQ039533.1	NW_013185781.1	2665040	128
scaffold313	KQ039534.1	NW_013185782.1	2624991	129
scaffold48	KQ039535.1	NW_013185783.1	2615271	130
scaffold9	KQ039536.1	NW_013185784.1	2612808	131
scaffold213	KQ039537.1	NW_013185785.1	2595892	132
scaffold369	KQ039538.1	NW_013185786.1	2576889	133
scaffold168	KQ039539.1	NW_013185787.1	2573776	134
scaffold323	KQ039540.1	NW_013185788.1	2567632	135
scaffold181	KQ039541.1	NW_013185789.1	2564890	136
scaffold378	KQ039542.1	NW_013185790.1	2556993	137
scaffold354	KQ039543.1	NW_013185791.1	2544140	138
scaffold28	KQ039544.1	NW_013185792.1	2479284	139
scaffold356	KQ039545.1	NW_013185793.1	2477085	140
scaffold140	KQ039546.1	NW_013185794.1	2461645	141
scaffold89	KQ039547.1	NW_013185795.1	2448640	142
scaffold41	KQ039548.1	NW_013185796.1	2428215	143
scaffold180	KQ039549.1	NW_013185797.1	2411069	144
scaffold276	KQ039550.1	NW_013185798.1	2401695	145
scaffold304	KQ039551.1	NW_013185799.1	2399270	146
scaffold381	KQ039552.1	NW_013185800.1	2380349	147
scaffold215	KQ039553.1	NW_013185801.1	2373150	148
scaffold303	KQ039554.1	NW_013185802.1	2360623	149
scaffold388	KQ039555.1	NW_013185803.1	2347621	150
scaffold330	KQ039556.1	NW_013185804.1	2338879	151
scaffold165	KQ039557.1	NW_013185805.1	2293910	152
scaffold212	KQ039558.1	NW_013185806.1	2289366	153
scaffold50	KQ039559.1	NW_013185807.1	2288712	154
scaffold359	KQ039560.1	NW_013185808.1	2236003	155
scaffold203	KQ039561.1	NW_013185809.1	2232961	156
scaffold218	KQ039562.1	NW_013185810.1	2217300	157
scaffold115	KQ039563.1	NW_013185811.1	2208207	158
scaffold90	KQ039564.1	NW_013185812.1	2182871	159
scaffold269	KQ039565.1	NW_013185813.1	2177587	160
scaffold125	KQ039566.1	NW_013185814.1	2142853	161
scaffold209	KQ039567.1	NW_013185815.1	2126485	162
scaffold224	KQ039568.1	NW_013185816.1	2086094	163
scaffold116	KQ039569.1	NW_013185817.1	2085786	164
scaffold126	KQ039570.1	NW_013185818.1	2054373	165
scaffold34	KQ039571.1	NW_013185819.1	2026312	166
scaffold54	KQ039572.1	NW_013185820.1	1987893	167
scaffold112	KQ039573.1	NW_013185821.1	1984707	168
scaffold174	KQ039574.1	NW_013185822.1	1976121	169
scaffold387	KQ039575.1	NW_013185823.1	1973425	170
scaffold228	KQ039576.1	NW_013185824.1	1966995	171
scaffold293	KQ039577.1	NW_013185825.1	1964330	172
scaffold27	KQ039578.1	NW_013185826.1	1959172	173
scaffold258	KQ039579.1	NW_013185827.1	1948606	174
scaffold367	KQ039580.1	NW_013185828.1	1947107	175
scaffold361	KQ039581.1	NW_013185829.1	1939612	176
scaffold60	KQ039582.1	NW_013185830.1	1934490	177
scaffold219	KQ039583.1	NW_013185831.1	1929909	178
scaffold110	KQ039584.1	NW_013185832.1	1912891	179
scaffold339	KQ039585.1	NW_013185833.1	1908655	180
scaffold59	KQ039586.1	NW_013185834.1	1904188	181
scaffold101	KQ039587.1	NW_013185835.1	1899098	182
scaffold236	KQ039588.1	NW_013185836.1	1883802	183
scaffold254	KQ039589.1	NW_013185837.1	1875651	184
scaffold201	KQ039590.1	NW_013185838.1	1872701	185
scaffold107	KQ039591.1	NW_013185839.1	1860642	186
scaffold172	KQ039592.1	NW_013185840.1	1822184	187
scaffold489	KQ039593.1	NW_013185841.1	1814541	188
scaffold124	KQ039594.1	NW_013185842.1	1792429	189
scaffold263	KQ039595.1	NW_013185843.1	1784541	190
scaffold285	KQ039596.1	NW_013185844.1	1783272	191
scaffold342	KQ039597.1	NW_013185845.1	1739612	192
scaffold268	KQ039598.1	NW_013185846.1	1731574	193
scaffold446	KQ039599.1	NW_013185847.1	1731467	194
scaffold223	KQ039600.1	NW_013185848.1	1718155	195
scaffold309	KQ039601.1	NW_013185849.1	1709786	196
scaffold76	KQ039602.1	NW_013185850.1	1706622	197
scaffold198	KQ039603.1	NW_013185851.1	1689274	198
scaffold226	KQ039604.1	NW_013185852.1	1687107	199
scaffold409	KQ039605.1	NW_013185853.1	1685359	200
scaffold19	KQ039606.1	NW_013185854.1	1668044	201
scaffold410	KQ039607.1	NW_013185855.1	1649851	202
scaffold482	KQ039608.1	NW_013185856.1	1644391	203
scaffold131	KQ039609.1	NW_013185857.1	1624800	204
scaffold132	KQ039610.1	NW_013185858.1	1617140	205
scaffold237	KQ039611.1	NW_013185859.1	1612959	206
scaffold301	KQ039612.1	NW_013185860.1	1606700	207
scaffold52	KQ039613.1	NW_013185861.1	1588513	208
scaffold148	KQ039614.1	NW_013185862.1	1530319	209
scaffold171	KQ039615.1	NW_013185863.1	1523639	210
scaffold256	KQ039616.1	NW_013185864.1	1521435	211
scaffold277	KQ039617.1	NW_013185865.1	1509403	212
scaffold159	KQ039618.1	NW_013185866.1	1508501	213
scaffold249	KQ039619.1	NW_013185867.1	1507801	214
scaffold260	KQ039620.1	NW_013185868.1	1498049	215
scaffold239	KQ039621.1	NW_013185869.1	1497096	216
scaffold17	KQ039622.1	NW_013185870.1	1496546	217
scaffold473	KQ039623.1	NW_013185871.1	1477736	218
scaffold127	KQ039624.1	NW_013185872.1	1471226	219
scaffold307	KQ039625.1	NW_013185873.1	1458556	220
scaffold146	KQ039626.1	NW_013185874.1	1456265	221
scaffold13	KQ039627.1	NW_013185875.1	1411650	222
scaffold176	KQ039628.1	NW_013185876.1	1407020	223
scaffold95	KQ039629.1	NW_013185877.1	1390974	224
scaffold136	KQ039630.1	NW_013185878.1	1382850	225
scaffold308	KQ039631.1	NW_013185879.1	1370830	226
scaffold151	KQ039632.1	NW_013185880.1	1357629	227
scaffold185	KQ039633.1	NW_013185881.1	1355599	228
scaffold569	KQ039634.1	NW_013185882.1	1352048	229
scaffold150	KQ039635.1	NW_013185883.1	1329475	230
scaffold386	KQ039636.1	NW_013185884.1	1326600	231
scaffold299	KQ039637.1	NW_013185885.1	1300463	232
scaffold92	KQ039638.1	NW_013185886.1	1298299	233
scaffold205	KQ039639.1	NW_013185887.1	1298113	234
scaffold358	KQ039640.1	NW_013185888.1	1267899	235
scaffold229	KQ039641.1	NW_013185889.1	1266447	236
scaffold102	KQ039642.1	NW_013185890.1	1252001	237
scaffold67	KQ039643.1	NW_013185891.1	1239906	238
scaffold452	KQ039644.1	NW_013185892.1	1225925	239
scaffold414	KQ039645.1	NW_013185893.1	1224678	240
scaffold160	KQ039646.1	NW_013185894.1	1210855	241
scaffold334	KQ039647.1	NW_013185895.1	1199459	242
scaffold267	KQ039648.1	NW_013185896.1	1197658	243
scaffold382	KQ039649.1	NW_013185897.1	1175815	244
scaffold463	KQ039650.1	NW_013185898.1	1150464	245
scaffold265	KQ039651.1	NW_013185899.1	1131768	246
scaffold43	KQ039652.1	NW_013185900.1	1124493	247
scaffold111	KQ039653.1	NW_013185901.1	1123572	248
scaffold288	KQ039654.1	NW_013185902.1	1122349	249
scaffold134	KQ039655.1	NW_013185903.1	1097772	250
scaffold423	KQ039656.1	NW_013185904.1	1082338	251
scaffold244	KQ039657.1	NW_013185905.1	1078590	252
scaffold411	KQ039658.1	NW_013185906.1	1069677	253
scaffold346	KQ039659.1	NW_013185907.1	1042492	254
scaffold10	KQ039660.1	NW_013185908.1	1032415	255
scaffold169	KQ039661.1	NW_013185909.1	1018266	256
scaffold106	KQ039662.1	NW_013185910.1	1016764	257
scaffold80	KQ039663.1	NW_013185911.1	1014102	258
scaffold242	KQ039664.1	NW_013185912.1	1003789	259
scaffold79	KQ039665.1	NW_013185913.1	964888	260
scaffold283	KQ039666.1	NW_013185914.1	958976	261
scaffold394	KQ039667.1	NW_013185915.1	957744	262
scaffold187	KQ039668.1	NW_013185916.1	950065	263
scaffold182	KQ039669.1	NW_013185917.1	940877	264
scaffold139	KQ039670.1	NW_013185918.1	930923	265
scaffold302	KQ039671.1	NW_013185919.1	925889	266
scaffold333	KQ039672.1	NW_013185920.1	902742	267
scaffold177	KQ039673.1	NW_013185921.1	894090	268
scaffold207	KQ039674.1	NW_013185922.1	846469	269
scaffold474	KQ039675.1	NW_013185923.1	843349	270
scaffold75	KQ039676.1	NW_013185924.1	829687	271
scaffold424	KQ039677.1	NW_013185925.1	826784	272
scaffold246	KQ039678.1	NW_013185926.1	815027	273
scaffold166	KQ039679.1	NW_013185927.1	795408	274
scaffold591	KQ039680.1	NW_013185928.1	778800	275
scaffold255	KQ039681.1	NW_013185929.1	774356	276
scaffold598	KQ039682.1	NW_013185930.1	772479	277
scaffold393	KQ039683.1	NW_013185931.1	768931	278
scaffold270	KQ039684.1	NW_013185932.1	765345	279
scaffold280	KQ039685.1	NW_013185933.1	756764	280
scaffold450	KQ039686.1	NW_013185934.1	723803	281
scaffold385	KQ039687.1	NW_013185935.1	718366	282
scaffold529	KQ039688.1	NW_013185936.1	715899	283
scaffold459	KQ039689.1	NW_013185937.1	707276	284
scaffold442	KQ039690.1	NW_013185938.1	699860	285
scaffold243	KQ039691.1	NW_013185939.1	692786	286
scaffold407	KQ039692.1	NW_013185940.1	692459	287
scaffold628	KQ039693.1	NW_013185941.1	683415	288
scaffold351	KQ039694.1	NW_013185942.1	682947	289
scaffold279	KQ039695.1	NW_013185943.1	675110	290
scaffold420	KQ039696.1	NW_013185944.1	667110	291
scaffold144	KQ039697.1	NW_013185945.1	654928	292
scaffold364	KQ039698.1	NW_013185946.1	654451	293
scaffold345	KQ039699.1	NW_013185947.1	640268	294
scaffold466	KQ039700.1	NW_013185948.1	638071	295
scaffold357	KQ039701.1	NW_013185949.1	635590	296
scaffold69	KQ039702.1	NW_013185950.1	635509	297
scaffold350	KQ039703.1	NW_013185951.1	622284	298
scaffold380	KQ039704.1	NW_013185952.1	613716	299
scaffold599	KQ039705.1	NW_013185953.1	596140	300
scaffold129	KQ039706.1	NW_013185954.1	588141	301
scaffold421	KQ039707.1	NW_013185955.1	585140	302
scaffold91	KQ039708.1	NW_013185956.1	580142	303
scaffold557	KQ039709.1	NW_013185957.1	577333	304
scaffold348	KQ039710.1	NW_013185958.1	567967	305
scaffold71	KQ039711.1	NW_013185959.1	566666	306
scaffold465	KQ039712.1	NW_013185960.1	559895	307
scaffold506	KQ039713.1	NW_013185961.1	557156	308
scaffold404	KQ039714.1	NW_013185962.1	554123	309
scaffold561	KQ039715.1	NW_013185963.1	546844	310
scaffold289	KQ039716.1	NW_013185964.1	544763	311
scaffold499	KQ039717.1	NW_013185965.1	538651	312
scaffold427	KQ039718.1	NW_013185966.1	537090	313
scaffold438	KQ039719.1	NW_013185967.1	515724	314
scaffold325	KQ039720.1	NW_013185968.1	515484	315
scaffold11	KQ039721.1	NW_013185969.1	503673	316
scaffold3	KQ039722.1	NW_013185970.1	491186	317
scaffold412	KQ039723.1	NW_013185971.1	486625	318
scaffold352	KQ039724.1	NW_013185972.1	486499	319
scaffold750	KQ039725.1	NW_013185973.1	486239	320
scaffold449	KQ039726.1	NW_013185974.1	475603	321
scaffold331	KQ039727.1	NW_013185975.1	473165	322
scaffold113	KQ039728.1	NW_013185976.1	470626	323
scaffold374	KQ039729.1	NW_013185977.1	464531	324
scaffold77	KQ039730.1	NW_013185978.1	446692	325
scaffold501	KQ039731.1	NW_013185979.1	445615	326
scaffold250	KQ039732.1	NW_013185980.1	433251	327
scaffold664	KQ039733.1	NW_013185981.1	432323	328
scaffold487	KQ039734.1	NW_013185982.1	431012	329
scaffold437	KQ039735.1	NW_013185983.1	428959	330
scaffold208	KQ039736.1	NW_013185984.1	428215	331
scaffold16	KQ039737.1	NW_013185985.1	410321	332
scaffold621	KQ039738.1	NW_013185986.1	408121	333
scaffold612	KQ039739.1	NW_013185987.1	407028	334
scaffold340	KQ039740.1	NW_013185988.1	404433	335
scaffold666	KQ039741.1	NW_013185989.1	399025	336
scaffold477	KQ039742.1	NW_013185990.1	397090	337
scaffold294	KQ039743.1	NW_013185991.1	395311	338
scaffold417	KQ039744.1	NW_013185992.1	379534	339
scaffold548	KQ039745.1	NW_013185993.1	373810	340
scaffold234	KQ039746.1	NW_013185994.1	370202	341
scaffold457	KQ039747.1	NW_013185995.1	368812	342
scaffold592	KQ039748.1	NW_013185996.1	363966	343
scaffold448	KQ039749.1	NW_013185997.1	362783	344
scaffold430	KQ039750.1	NW_013185998.1	358798	345
scaffold679	KQ039751.1	NW_013185999.1	355110	346
scaffold196	KQ039752.1	NW_013186000.1	350341	347
scaffold444	KQ039753.1	NW_013186001.1	341173	348
scaffold455	KQ039754.1	NW_013186002.1	335051	349
scaffold360	KQ039755.1	NW_013186003.1	332377	350
scaffold156	KQ039756.1	NW_013186004.1	330311	351
scaffold149	KQ039757.1	NW_013186005.1	325484	352
scaffold559	KQ039758.1	NW_013186006.1	321711	353
scaffold701	KQ039759.1	NW_013186007.1	318058	354
scaffold675	KQ039760.1	NW_013186008.1	317011	355
scaffold235	KQ039761.1	NW_013186009.1	316093	356
scaffold391	KQ039762.1	NW_013186010.1	315232	357
scaffold389	KQ039763.1	NW_013186011.1	310947	358
scaffold120	KQ039764.1	NW_013186012.1	309636	359
scaffold502	KQ039765.1	NW_013186013.1	309160	360
scaffold282	KQ039766.1	NW_013186014.1	308374	361
scaffold416	KQ039767.1	NW_013186015.1	307855	362
scaffold537	KQ039768.1	NW_013186016.1	307353	363
scaffold142	KQ039769.1	NW_013186017.1	293919	364
scaffold670	KQ039770.1	NW_013186018.1	287095	365
scaffold519	KQ039771.1	NW_013186019.1	284645	366
scaffold614	KQ039772.1	NW_013186020.1	283558	367
scaffold647	KQ039773.1	NW_013186021.1	278707	368
scaffold321	KQ039774.1	NW_013186022.1	276281	369
scaffold251	KQ039775.1	NW_013186023.1	273591	370
scaffold318	KQ039776.1	NW_013186024.1	270133	371
scaffold262	KQ039777.1	NW_013186025.1	268565	372
scaffold425	KQ039778.1	NW_013186026.1	263423	373
scaffold202	KQ039779.1	NW_013186027.1	258759	374
scaffold488	KQ039780.1	NW_013186028.1	257587	375
scaffold377	KQ039781.1	NW_013186029.1	256752	376
scaffold564	KQ039782.1	NW_013186030.1	253390	377
scaffold266	KQ039783.1	NW_013186031.1	253122	378
scaffold435	KQ039784.1	NW_013186032.1	246784	379
scaffold220	KQ039785.1	NW_013186033.1	246447	380
scaffold200	KQ039786.1	NW_013186034.1	245222	381
scaffold611	KQ039787.1	NW_013186035.1	237679	382
scaffold395	KQ039788.1	NW_013186036.1	237141	383
scaffold349	KQ039789.1	NW_013186037.1	237068	384
scaffold508	KQ039790.1	NW_013186038.1	235188	385
scaffold500	KQ039791.1	NW_013186039.1	234832	386
scaffold130	KQ039792.1	NW_013186040.1	234489	387
scaffold312	KQ039793.1	NW_013186041.1	234374	388
scaffold397	KQ039794.1	NW_013186042.1	228888	389
scaffold119	KQ039795.1	NW_013186043.1	228539	390
scaffold363	KQ039796.1	NW_013186044.1	226964	391
scaffold567	KQ039797.1	NW_013186045.1	223662	392
scaffold639	KQ039798.1	NW_013186046.1	220317	393
scaffold257	KQ039799.1	NW_013186047.1	217676	394
scaffold560	KQ039800.1	NW_013186048.1	214496	395
scaffold347	KQ039801.1	NW_013186049.1	213396	396
scaffold31	KQ039802.1	NW_013186050.1	211298	397
scaffold62	KQ039803.1	NW_013186051.1	208534	398
scaffold872	KQ039804.1	NW_013186052.1	207601	399
scaffold241	KQ039805.1	NW_013186053.1	206705	400
scaffold610	KQ039806.1	NW_013186054.1	204733	401
scaffold625	KQ039807.1	NW_013186055.1	203902	402
scaffold515	KQ039808.1	NW_013186056.1	202651	403
scaffold328	KQ039809.1	NW_013186057.1	200263	404
scaffold513	KQ039810.1	NW_013186058.1	199918	405
scaffold517	KQ039811.1	NW_013186059.1	197851	406
scaffold402	KQ039812.1	NW_013186060.1	197582	407
scaffold278	KQ039813.1	NW_013186061.1	195656	408
scaffold415	KQ039814.1	NW_013186062.1	195554	409
scaffold784	KQ039815.1	NW_013186063.1	195548	410
scaffold373	KQ039816.1	NW_013186064.1	195077	411
scaffold379	KQ039817.1	NW_013186065.1	194236	412
scaffold585	KQ039818.1	NW_013186066.1	192955	413
scaffold300	KQ039819.1	NW_013186067.1	186053	414
scaffold650	KQ039820.1	NW_013186068.1	184753	415
scaffold399	KQ039821.1	NW_013186069.1	182283	416
scaffold214	KQ039822.1	NW_013186070.1	179594	417
scaffold316	KQ039823.1	NW_013186071.1	178963	418
scaffold419	KQ039824.1	NW_013186072.1	177749	419
scaffold538	KQ039825.1	NW_013186073.1	177120	420
scaffold436	KQ039826.1	NW_013186074.1	174052	421
scaffold183	KQ039827.1	NW_013186075.1	174047	422
scaffold535	KQ039828.1	NW_013186076.1	172114	423
scaffold441	KQ039829.1	NW_013186077.1	167014	424
scaffold29	KQ039830.1	NW_013186078.1	164016	425
scaffold248	KQ039831.1	NW_013186079.1	162273	426
scaffold296	KQ039832.1	NW_013186080.1	161902	427
scaffold497	KQ039833.1	NW_013186081.1	157168	428
scaffold550	KQ039834.1	NW_013186082.1	156845	429
scaffold418	KQ039835.1	NW_013186083.1	154774	430
scaffold445	KQ039836.1	NW_013186084.1	153156	431
scaffold315	KQ039837.1	NW_013186085.1	153046	432
scaffold217	KQ039838.1	NW_013186086.1	152720	433
scaffold568	KQ039839.1	NW_013186087.1	151620	434
scaffold617	KQ039840.1	NW_013186088.1	147288	435
scaffold486	KQ039841.1	NW_013186089.1	144568	436
scaffold608	KQ039842.1	NW_013186090.1	144557	437
scaffold758	KQ039843.1	NW_013186091.1	143542	438
scaffold375	KQ039844.1	NW_013186092.1	143306	439
scaffold478	KQ039845.1	NW_013186093.1	142964	440
scaffold179	KQ039846.1	NW_013186094.1	141969	441
scaffold392	KQ039847.1	NW_013186095.1	137109	442
scaffold865	KQ039848.1	NW_013186096.1	136206	443
scaffold161	KQ039849.1	NW_013186097.1	135076	444
scaffold644	KQ039850.1	NW_013186098.1	131722	445
scaffold314	KQ039851.1	NW_013186099.1	129201	446
scaffold429	KQ039852.1	NW_013186100.1	128416	447
scaffold344	KQ039853.1	NW_013186101.1	125446	448
scaffold577	KQ039854.1	NW_013186102.1	123396	449
scaffold558	KQ039855.1	NW_013186103.1	121982	450
scaffold190	KQ039856.1	NW_013186104.1	118376	451
scaffold555	KQ039857.1	NW_013186105.1	115798	452
scaffold311	KQ039858.1	NW_013186106.1	114515	453
scaffold440	KQ039859.1	NW_013186107.1	110882	454
scaffold422	KQ039860.1	NW_013186108.1	110628	455
scaffold495	KQ039861.1	NW_013186109.1	110182	456
scaffold451	KQ039862.1	NW_013186110.1	106448	457
scaffold536	KQ039863.1	NW_013186111.1	100313	458
scaffold947	KQ039864.1	NW_013186112.1	100009	459
scaffold601	KQ039865.1	NW_013186113.1	97939	460
scaffold496	KQ039866.1	NW_013186114.1	93757	461
scaffold433	KQ039867.1	NW_013186115.1	93698	462
scaffold434	KQ039868.1	NW_013186116.1	88412	463
scaffold565	KQ039869.1	NW_013186117.1	88319	464
scaffold400	KQ039870.1	NW_013186118.1	87745	465
scaffold860	KQ039871.1	NW_013186119.1	87557	466
scaffold876	KQ039872.1	NW_013186120.1	85861	467
scaffold324	KQ039873.1	NW_013186121.1	84201	468
scaffold408	KQ039874.1	NW_013186122.1	83695	469
scaffold711	KQ039875.1	NW_013186123.1	82255	470
scaffold827	KQ039876.1	NW_013186124.1	78902	471
scaffold491	KQ039877.1	NW_013186125.1	77877	472
scaffold894	KQ039878.1	NW_013186126.1	77154	473
scaffold461	KQ039879.1	NW_013186127.1	77043	474
scaffold531	KQ039880.1	NW_013186128.1	76577	475
scaffold769	KQ039881.1	NW_013186129.1	75703	476
scaffold578	KQ039882.1	NW_013186130.1	73491	477
scaffold863	KQ039883.1	NW_013186131.1	72618	478
scaffold492	KQ039884.1	NW_013186132.1	72380	479
scaffold518	KQ039885.1	NW_013186133.1	72230	480
scaffold759	KQ039886.1	NW_013186134.1	72157	481
scaffold721	KQ039887.1	NW_013186135.1	71441	482
scaffold888	KQ039888.1	NW_013186136.1	71090	483
scaffold439	KQ039889.1	NW_013186137.1	70614	484
scaffold199	KQ039890.1	NW_013186138.1	70603	485
scaffold479	KQ039891.1	NW_013186139.1	68487	486
scaffold376	KQ039892.1	NW_013186140.1	68408	487
